Velocidad,Distancia,Salto
-4,700,0
-4,696,0
-4,692,0
-4,688,0
-4,684,0
-4,680,0
-4,676,0
-4,672,0
-4,668,0
-4,664,0
-4,660,0
-4,656,0
-4,652,0
-4,648,0
-4,644,0
-4,640,0
-4,636,0
-4,632,0
-4,628,0
-4,624,0
-4,620,0
-4,616,0
-4,612,0
-4,608,0
-4,604,0
-4,600,0
-4,596,0
-4,592,0
-4,588,0
-4,584,0
-4,580,0
-4,576,0
-4,572,0
-4,568,0
-4,564,0
-4,560,0
-4,556,0
-4,552,0
-4,548,0
-4,544,0
-4,540,0
-4,536,0
-4,532,0
-4,528,0
-4,524,0
-4,520,0
-4,516,0
-4,512,0
-4,508,0
-4,504,0
-4,500,0
-4,496,0
-4,492,0
-4,488,0
-4,484,1
-4,480,0
-4,476,0
-4,472,0
-4,468,0
-4,464,0
-4,460,0
-4,456,0
-4,452,0
-4,448,0
-4,444,0
-4,440,0
-4,436,0
-4,432,0
-4,428,0
-4,424,0
-4,420,0
-4,416,0
-4,412,0
-4,408,1
-4,404,1
-4,400,1
-4,396,1
-4,392,1
-4,388,1
-4,384,1
-4,380,1
-4,376,1
-4,372,1
-4,368,1
-4,364,1
-4,360,1
-4,356,1
-4,352,1
-4,348,1
-4,344,1
-4,340,1
-4,336,1
-4,332,1
-4,328,1
-4,324,1
-4,320,1
-4,316,1
-4,312,1
-4,308,1
-4,304,1
-4,300,1
-4,296,1
-4,292,1
-4,288,1
-4,284,0
-4,280,0
-4,276,0
-4,272,0
-4,268,0
-4,264,0
-4,260,0
-4,256,0
-4,252,0
-4,248,0
-4,244,0
-4,240,0
-4,236,0
-4,232,0
-4,228,0
-4,224,0
-4,220,0
-4,216,0
-4,212,0
-4,208,0
-4,204,0
-4,200,0
-4,196,0
-4,192,0
-4,188,0
-4,184,0
-4,180,0
-4,176,0
-4,172,0
-4,168,0
-4,164,0
-4,160,0
-4,156,0
-4,152,0
-4,148,0
-4,144,0
-4,140,0
-4,136,0
-4,132,0
-4,128,0
-4,124,0
-4,120,0
-4,116,0
-4,112,0
-4,108,0
-4,104,0
-4,100,0
-4,96,0
-4,92,0
-4,88,1
-4,84,1
-4,80,1
-4,76,1
-4,72,1
-4,68,1
-4,64,1
-4,60,1
-4,56,1
-4,52,1
-4,48,1
-4,44,1
-4,40,1
-4,36,1
-4,32,1
-4,28,1
-4,24,1
-4,20,1
-4,16,1
-4,12,1
-4,8,1
-4,4,1
-4,0,1
-4,4,1
-4,8,1
-4,12,1
-4,16,1
-4,20,1
-4,24,1
-4,28,1
-4,32,1
-4,36,0
-4,40,0
-4,44,1
-4,48,1
-4,700,1
-7,693,1
-7,686,1
-7,679,1
-7,672,1
-7,665,1
-7,658,1
-7,651,1
-7,644,1
-7,637,1
-7,630,1
-7,623,1
-7,616,1
-7,609,1
-7,602,1
-7,595,1
-7,588,1
-7,581,1
-7,574,1
-7,567,1
-7,560,1
-7,553,1
-7,546,1
-7,539,1
-7,532,1
-7,525,1
-7,518,1
-7,511,1
-7,504,1
-7,497,0
-7,490,0
-7,483,0
-7,476,0
-7,469,0
-7,462,0
-7,455,0
-7,448,0
-7,441,1
-7,434,1
-7,427,1
-7,420,1
-7,413,1
-7,406,1
-7,399,1
-7,392,1
-7,385,1
-7,378,1
-7,371,1
-7,364,1
-7,357,1
-7,350,1
-7,343,1
-7,336,1
-7,329,1
-7,322,1
-7,315,1
-7,308,1
-7,301,1
-7,294,1
-7,287,1
-7,280,1
-7,273,1
-7,266,1
-7,259,1
-7,252,1
-7,245,1
-7,238,1
-7,231,1
-7,224,0
-7,217,0
-7,210,0
-7,203,0
-7,196,0
-7,189,0
-7,182,0
-7,175,0
-7,168,0
-7,161,0
-7,154,0
-7,147,0
-7,140,0
-7,133,0
-7,126,1
-7,119,1
-7,112,1
-7,105,1
-7,98,1
-7,91,1
-7,84,1
-7,77,1
-7,70,1
-7,63,1
-7,56,1
-7,49,1
-7,42,1
-7,35,1
-7,28,1
-7,21,1
-7,14,1
-7,7,1
-7,0,1
-7,7,1
-7,14,1
-7,21,1
-7,28,1
-7,35,1
-7,42,1
-7,49,1
-7,700,1
-6,694,1
-6,688,1
-6,682,1
-6,676,1
-6,670,0
-6,664,1
-6,658,1
-6,652,1
-6,646,1
-6,640,1
-6,634,1
-6,628,1
-6,622,1
-6,616,1
-6,610,1
-6,604,1
-6,598,1
-6,592,1
-6,586,1
-6,580,1
-6,574,1
-6,568,1
-6,562,1
-6,556,1
-6,550,1
-6,544,1
-6,538,1
-6,532,1
-6,526,1
-6,520,1
-6,514,1
-6,508,1
-6,502,1
-6,496,1
-6,490,1
-6,484,1
-6,478,1
-6,472,1
-6,466,1
-6,460,1
-6,454,1
-6,448,1
-6,442,1
-6,436,1
-6,430,1
-6,424,1
-6,418,1
-6,412,1
-6,406,1
-6,400,1
-6,394,1
-6,388,1
-6,382,1
-6,376,1
-6,370,1
-6,364,1
-6,358,1
-6,352,1
-6,346,1
-6,340,1
-6,334,1
-6,328,1
-6,322,1
-6,316,1
-6,310,1
-6,304,1
-6,298,1
-6,292,0
-6,286,1
-6,280,1
-6,274,1
-6,268,1
-6,262,1
-6,256,1
-6,250,1
-6,244,1
-6,238,1
-6,232,1
-6,226,1
-6,220,1
-6,214,1
-6,208,1
-6,202,1
-6,196,1
-6,190,1
-6,184,1
-6,178,1
-6,172,1
-6,166,1
-6,160,1
-6,154,1
-6,148,1
-6,142,1
-6,136,1
-6,130,1
-6,124,1
-6,118,1
-6,112,1
-6,106,1
-6,100,0
-6,94,0
-6,88,0
-6,82,1
-6,76,1
-6,70,1
-6,64,1
-6,58,1
-6,52,1
-6,46,1
-6,40,1
-6,34,1
-6,28,1
-6,22,1
-6,16,1
-6,10,1
-6,4,1
-6,2,1
-6,8,1
-6,14,1
-6,20,1
-6,26,1
-6,32,1
-6,38,1
-6,44,1
-6,50,1
-6,700,1
-4,696,1
-4,692,1
-4,688,1
-4,684,1
-4,680,1
-4,676,1
-4,672,1
-4,668,0
-4,664,0
-4,660,1
-4,656,1
-4,652,1
-4,648,1
-4,644,1
-4,640,1
-4,636,1
-4,632,1
-4,628,1
-4,624,1
-4,620,1
-4,616,1
-4,612,1
-4,608,1
-4,604,1
-4,600,1
-4,596,1
-4,592,1
-4,588,1
-4,584,1
-4,580,1
-4,576,1
-4,572,1
-4,568,1
-4,564,1
-4,560,1
-4,556,1
-4,552,1
-4,548,1
-4,544,1
-4,540,1
-4,536,0
-4,532,0
-4,528,1
-4,524,1
-4,520,1
-4,516,1
-4,512,1
-4,508,1
-4,504,1
-4,500,1
-4,496,1
-4,492,1
-4,488,1
-4,484,1
-4,480,1
-4,476,1
-4,472,1
-4,468,1
-4,464,1
-4,460,1
-4,456,1
-4,452,1
-4,448,1
-4,444,1
-4,440,1
-4,436,1
-4,432,1
-4,428,1
-4,424,1
-4,420,1
-4,416,1
-4,412,1
-4,408,1
-4,404,0
-4,400,0
-4,396,0
-4,392,1
-4,388,1
-4,384,1
-4,380,1
-4,376,1
-4,372,1
-4,368,1
-4,364,1
-4,360,1
-4,356,1
-4,352,1
-4,348,1
-4,344,1
-4,340,1
-4,336,1
-4,332,1
-4,328,1
-4,324,1
-4,320,1
-4,316,1
-4,312,1
-4,308,1
-4,304,1
-4,300,1
-4,296,1
-4,292,1
-4,288,1
-4,284,1
-4,280,1
-4,276,1
-4,272,1
-4,268,0
-4,264,1
-4,260,1
-4,256,1
-4,252,1
-4,248,1
-4,244,1
-4,240,1
-4,236,1
-4,232,1
-4,228,1
-4,224,1
-4,220,1
-4,216,1
-4,212,1
-4,208,1
-4,204,1
-4,200,1
-4,196,1
-4,192,1
-4,188,1
-4,184,1
-4,180,1
-4,176,1
-4,172,1
-4,168,1
-4,164,1
-4,160,1
-4,156,1
-4,152,1
-4,148,1
-4,144,1
-4,140,0
-4,136,0
-4,132,0
-4,128,0
-4,124,0
-4,120,1
-4,116,1
-4,112,1
-4,108,1
-4,104,1
-4,100,1
-4,96,1
-4,92,1
-4,88,1
-4,84,1
-4,80,1
-4,76,1
-4,72,1
-4,68,1
-4,64,1
-4,60,1
-4,56,1
-4,52,1
-4,48,1
-4,44,1
-4,40,1
-4,36,1
-4,32,1
-4,28,1
-4,24,1
-4,20,1
-4,16,1
-4,12,1
-4,8,1
